rank,cityId,displayName,country,region,slicScore,pressureScore,viabilityScore,capabilityScore,communityScore,creativeScore,coverageGrade,rankingStatus
136,gh-accra,"Accra","Ghana","Africa",25.3,55.6,35.9,14.9,30.3,17.8,A,Ranked
137,gh-kumasi,"Kumasi","Ghana","Africa",25.1,59.4,35.9,14.9,30.3,17.8,A,Ranked
138,mx-merida,"Merida","Mexico","North America",25.1,53.7,13.3,55.5,40.5,14.1,A,Ranked
139,mx-guadalajara,"Guadalajara","Mexico","North America",24.8,49.9,13.3,55.5,40.5,14.1,A,Ranked
140,ie-cork,"Cork","Ireland","Western, Northern, and Southern Europe",24.5,82.1,,13.3,91.8,37.4,C,Ranked
141,vu-port-vila,"Port Vila","Vanuatu","Oceania",24.3,22.8,,26.7,55.4,21.9,Watchlist,Watchlist
142,ke-nairobi,"Nairobi","Kenya","Africa",23.9,48.5,45.1,12.5,28.1,14.5,A,Ranked
143,mx-mexico-city,"Mexico City","Mexico","North America",23.3,39.2,13.3,55.5,40.5,14.1,A,Ranked
144,tz-dar-es-salaam,"Dar es Salaam","Tanzania","Africa",22.9,31.8,,59.8,24.1,12.7,Watchlist,Watchlist
145,np-pokhara,"Pokhara","Nepal","South Asia",22.3,44.3,37.6,12.2,21.7,16.6,A,Ranked
146,np-kathmandu,"Kathmandu","Nepal","South Asia",22.3,42.3,37.6,12.2,21.7,16.6,A,Ranked
147,bd-chattogram,"Chattogram","Bangladesh","South Asia",21.7,51.3,48.3,10.8,19.6,15.7,A,Ranked
148,no-bergen,"Bergen","Norway","Western, Northern, and Southern Europe",21.7,76.4,,3.2,97.8,48.8,C,Ranked
149,bd-dhaka,"Dhaka","Bangladesh","South Asia",21.6,49.3,48.3,10.8,19.6,15.7,A,Ranked
150,ws-apia,"Apia","Samoa","Oceania",18.6,27.6,,,55.5,10.2,Watchlist,Watchlist
151,py-asuncion,"Asuncion","Paraguay","Latin America",17.5,40.4,,74.7,45.4,14.9,C,Ranked
152,be-antwerp,"Antwerp","Belgium","Western, Northern, and Southern Europe",16.9,65.1,,4.4,87.9,40.4,C,Ranked
153,kh-phnom-penh,"Phnom Penh","Cambodia","Southeast Asia",16.6,43.9,,18.2,34.5,36.3,C,Ranked
154,cz-brno,"Brno","Czechia","Southern/Eastern Europe and Eurasia",15.5,70.5,,0,84.3,42.4,C,Ranked
155,sn-dakar,"Dakar","Senegal","Africa",11.4,40.5,0.7,10.6,26.3,26.7,A,Ranked
156,de-munich,"Munich","Germany","Western, Northern, and Southern Europe",10.8,18.3,,27.1,65,36.2,C,Ranked
157,pk-islamabad,"Islamabad","Pakistan","South Asia",10.7,47.5,32.7,8.1,13,4.4,A,Ranked
158,pk-karachi,"Karachi","Pakistan","South Asia",10.6,48,32.7,8.1,13,4.4,A,Ranked
159,pk-lahore,"Lahore","Pakistan","South Asia",10.6,48.3,32.7,8.1,13,4.4,A,Ranked
160,pg-port-moresby,"Port Moresby","Papua New Guinea","Oceania",10.5,18.9,,,28.6,3.7,Watchlist,Watchlist
161,si-ljubljana,"Ljubljana","Slovenia","Southern/Eastern Europe and Eurasia",10.2,67,,0,90.6,33.2,C,Ranked
162,ug-kampala,"Kampala","Uganda","Africa",8.7,31.8,,68.7,15.1,22.5,C,Ranked
163,eg-alexandria,"Alexandria","Egypt","Africa",2.4,45,,11.3,7.7,30.6,C,Ranked
