rank,cityId,displayName,country,region,cityType,slicScore,pressureScore,viabilityScore,capabilityScore,communityScore,creativeScore,coverageGrade,overallWeightedCoverage,rankingStatus,populationM,countryPopM,nationalSharePct,industries,birthRate,workingHrsPerWk,waterAccessPct,broadbandPer100,climateScore,gdpGrowthPct,peer1,peer2,peer3
74,hu-budapest,Budapest,Hungary,Southern/Eastern Europe and Eurasia,primary,48.1,47.2,93.1,55.5,63.5,26.2,A,0.91,Ranked,2.5,9.6,26.0,tourism; finance; manufacturing,,37.2,100.0,36.8,54.0,0.56,Bratislava,Bologna,Venice
75,my-kuala-lumpur,Kuala Lumpur,Malaysia,Southeast Asia,primary,46.8,51,73.7,52.4,41.1,31.5,A,0.91,Ranked,7.7,33,23.3,finance; trade; tourism,1.60,44.7,94.7,13.0,56.0,5.11,George Town,Belgrade,Kuching
76,th-hat-yai,Hat Yai,Thailand,Southeast Asia,secondary,46.6,55.1,66.7,56.4,52.2,22.8,A,0.9,Ranked,0.4,72,0.6,trade; agriculture; services,1.08,42.5,92.0,15.8,55.0,2.54,Phuket,George Town,Kuala Lumpur
77,om-salalah,Salalah,Oman,Middle East,secondary,45.4,73.9,71.1,42,31.2,30.6,A,0.83,Ranked,0.25,4.7,5.3,tourism; trade; agriculture,,,91.1,10.9,42.0,1.63,Muscat,Melaka,Kuching
78,cr-san-jose,San Jose,Costa Rica,North America,primary,45.3,45.7,43.5,66,47.9,35.9,A,0.91,Ranked,1.4,5.2,26.9,tech; finance; services,,42.9,80.5,22.5,64.0,4.32,Sao Paulo,Florianopolis,Curitiba
79,mv-male,Male,Maldives,South Asia,secondary,45,54.6,72.1,39.8,35.8,35.4,A,0.82,Ranked,0.22,0.52,42.3,tourism; government; trade,,46.5,,18.7,,3.49,Port Louis,Muscat,George Town
80,th-phuket,Phuket,Thailand,Southeast Asia,secondary,44.9,48,68,56.4,52.2,22.8,A,0.9,Ranked,0.4,72,0.6,tourism; services; trade,1.08,42.5,90.0,15.8,60.0,2.54,Hat Yai,Kuala Lumpur,Krakow
81,qa-doha,Doha,Qatar,Middle East,primary,44.7,59,73.9,54.4,18.6,37.6,A,0.91,Ranked,2.4,3,80.0,energy; finance; government,1.80,48.0,95.3,11.6,32.0,2.36,Nanjing,Belgrade,Muscat
82,om-muscat,Muscat,Oman,Middle East,secondary,44.7,66.9,71.1,42,31.2,30.6,A,0.83,Ranked,1.5,4.7,31.9,government; finance; tourism,,,91.1,10.9,30.0,1.63,Salalah,Male,Melaka
83,ar-cordoba,Cordoba,Argentina,Latin America,secondary,44.5,67.5,69.2,78.6,46.8,10.2,A,0.87,Ranked,1.6,46,3.5,manufacturing; education; services,1.56,36.5,,25.4,,-1.34,Buenos Aires,Torun,Katowice
84,pa-panama-city,Panama City,Panama,North America,primary,44.2,61,44,64.2,41.8,26.9,A,0.87,Ranked,2.6,4.4,59.1,finance; trade; services,,36.0,,18.1,58.0,2.75,Curitiba,Florianopolis,Chiang Mai
85,th-chiang-mai,Chiang Mai,Thailand,Southeast Asia,secondary,43.8,54.3,49.7,56.4,52.2,22.8,A,0.9,Ranked,1.2,72,1.7,tourism; services; agriculture,1.08,42.5,95.0,15.8,64.0,2.54,Panama City,Hat Yai,Phuket
86,rs-belgrade,Belgrade,Serbia,Southern/Eastern Europe and Eurasia,primary,43.1,46.5,74.8,53.2,32.1,30.3,A,0.91,Ranked,1.7,6.6,25.8,tech; manufacturing; services,,41.0,75.0,31.3,54.0,3.95,Kuala Lumpur,George Town,Bucharest
87,cn-tianjin,Tianjin,China,East Asia,secondary,42.4,43.5,98.6,71.9,19.7,37.1,A,0.83,Ranked,14,1409,1.0,manufacturing; shipping; trade,1.00,,,44.7,52.0,4.98,Guangzhou,Shenzhen,Shanghai
